"id";"title";"artist";"release_year";"genre";"confirmed_genre";"link";"confirmed_link";"lyrics"
1;"Because the Night";"10,000 Maniacs";1993;"Rock";0;"";0;""
2;"Cupid";"112";1996;"R&B Soul";0;"";0;""
3;"Peaches and Cream";"112";2001;"R&B Soul";0;"";0;""
4;"California Love";"2Pac";1995;"Hip Hop";0;"";0;""
5;"Dear Mama";"2Pac";1995;"Hip Hop";0;"";0;""
6;"Changes (feat. Talent)";"2Pac";1998;"Hip Hop";0;"";0;""
7;"I Get Around";"2Pac";1993;"Hip Hop";0;"";0;""
8;"How Do U Want It";"2Pac";1996;"Hip Hop";0;"";0;""
9;"Do for Love";"2Pac";1997;"Hip Hop";0;"";0;""
10;"Kryptonite";"3 Doors Down";1999;"Pop";0;"";0;""
11;"Here Without You";"3 Doors Down";2000;"Pop";0;"";0;""
12;"When I'm Gone";"3 Doors Down";2000;"Pop";0;"";0;""
13;"Landing in London";"3 Doors Down";2005;"Rock";0;"";0;""
14;"Loser";"3 Doors Down";2000;"Pop";0;"";0;""
15;"It's Not My Time";"3 Doors Down";2008;"Rock";0;"";0;""
16;"Be Like That";"3 Doors Down";2000;"Pop";0;"";0;""
17;"Let Me Go";"3 Doors Down";2005;"Pop";0;"";0;""
18;"Away From The Sun";"3 Doors Down";2000;"Pop";0;"";0;""
19;"Ticket to Heaven";"3 Doors Down";2002;"Rock";0;"";0;""
20;"Behind Those Eyes";"3 Doors Down";2005;"Pop";0;"";0;""
21;"Going Down in Flames";"3 Doors Down";2002;"Rock";0;"";0;""
22;"Live for Today";"3 Doors Down";2005;"Pop";0;"";0;""
23;"Dangerous Game";"3 Doors Down";2002;"Rock";0;"";0;""
24;"Amber";"311";2001;"Rock";0;"";0;""
25;"Love Song";"311";2004;"Alternative";0;"";0;""
26;"Beyond the Gray Sky";"311";2003;"Alternative";0;"";0;""
27;"Creatures (For a While)";"311";2003;"Alternative";0;"";0;""
28;"I'll Be Here Awhile";"311";2001;"Rock";0;"";0;""
29;"You Wouldn't Believe";"311";1993;"Rock";0;"";0;""
30;"In Da Club";"50 Cent";2003;"Hip Hop";0;"";0;""
31;"Candy Shop (feat. Olivia)";"50 Cent";2005;"Hip Hop";0;"";0;""
32;"Hate it or Love it";"50 Cent";2005;"Hip Hop";0;"";0;""
33;"Baby By Me";"50 Cent";2009;"Hip Hop";0;"";0;""
34;"I Do (Cherish You)";"98 Degrees";1998;"Adult Contemporary";0;"";0;""
35;"Give Me Just One Night (Una Noche)";"98 Degrees";2000;"Pop";0;"";0;""
36;"My Everything";"98 Degrees";2000;"Pop";0;"";0;""
37;"Why (Are we Still Friends)";"98 Degrees";2002;"Pop";0;"";0;""
38;"I Ran (So Far Away)";"A Flock of Seagulls";1982;"Alternative";0;"";0;""
39;"Wishing (If I had a Photograph of you)";"A Flock of Seagulls";1982;"New Wave";0;"";0;""
40;"Say Something";"A Great Big World";2013;"Instrumental";0;"";0;""
41;"Already Home";"A Great Big World";2014;"Pop";0;"";0;""
42;"Rockstar";"A Great Big World";2014;"Pop";0;"";0;""
43;"You'll be Okay";"A Great Big World";2014;"Pop";0;"";0;""
44;"Hold each other";"A Great Big World";2015;"Pop";0;"";0;""
45;"I Really want it";"A Great Big World";2014;"Pop";0;"";0;""
46;"Shallow";"A Star is Born";2018;"Soundtrack";0;"";0;""
47;"Always Remember Us This Way";"A Star is Born";2018;"Soundtrack";0;"";0;""
48;"I'll Never Love Again";"A Star is Born";2018;"Soundtrack";0;"";0;""
49;"Maybe it's Time";"A Star is Born";2018;"Soundtrack";0;"";0;""
50;"Is that Alright?";"A Star is Born";2018;"Soundtrack";0;"";0;""
51;"Music to my Eye's";"Lady Gaga & Bradley Cooper";0;"undefined";0;"";0;""
52;"Look what I Found";"A Star is Born";2018;"Soundtrack";0;"";0;""
53;"Diggin' my Grave";"A Star is Born";2018;"Soundtrack";0;"";0;""
54;"Alibi";"A Star is Born";2018;"Soundtrack";0;"";0;""
55;"Black Eye's";"Bradley Cooper";0;"undefined";0;"";0;""
56;"I don't know What Love is";"A Star is Born";2018;"Soundtrack";0;"";0;""
57;"Too far Gone";"A Star is Born";2018;"Soundtrack";0;"";0;""
58;"La Vie En Rose";"A Star is Born";2018;"Soundtrack";0;"";0;""
59;"Before I Cry";"A Star is Born";2018;"Soundtrack";0;"";0;""
60;"Why did you do That?";"A Star is Born";2018;"Soundtrack";0;"";0;""
61;"Heal Me";"A Star is Born";2018;"Soundtrack";0;"";0;""
62;"Take on me";"a-Ha";1984;"Pop";0;"";0;""
63;"The Sun Always Shines on TV";"a-Ha";1985;"Pop";0;"";0;""
64;"Hunting High and Low";"a-Ha";1985;"Pop";0;"";0;""
65;"The Living Daylights";"a-Ha";1987;"Pop";0;"";0;""
66;"I've been Losing You";"a-Ha";1986;"Pop";0;"";0;""
67;"Summer Moved On";"a-Ha";2000;"Pop";0;"";0;""
68;"Stay on these Roads";"a-Ha";1988;"Pop";0;"";0;""
69;"Touchy!";"a-Ha";1988;"Pop";0;"";0;""
70;"You are the One";"a-Ha";1988;"Pop";0;"";0;""
71;"Are you that Somebody?";"Aaliyah";1998;"Soundtrack";0;"";0;""
72;"At your Best(You are love)";"Aaliyah";1998;"Soundtrack";0;"";0;""
73;"Rock the Boat";"Aaliyah";2001;"R&B Soul";0;"";0;""
74;"Try Again";"Aaliyah";2000;"Hip Hop";0;"";0;""
75;"Back & Forth";"Aaliyah";1994;"Hip-Hop";0;"";0;""
76;"We Need a Resolution";"Aaliyah";2001;"Dance";0;"";0;""
77;"I don't Wanna";"Aaliyah";1999;"Hip Hop";0;"";0;""
78;"The One I Gave my Heart to";"Aaliyah";1996;"R&B Soul";0;"";0;""
79;"Country Boy";"Aaron Lewis";2010;"Country";0;"";0;""
80;"That Ain't Country";"Aaron Lewis";2010;"Country";0;"";0;""
81;"Tell it like it is";"Aaron Neville";1966;"Blues";0;"";0;""
82;"Even if my Heart Would Break";"Aaron Neville";1992;"Jazz";0;"";0;""
83;"Kiss This";"Aaron Tippin";2000;"Country";0;"";0;""
84;"Where the Stars and Stripes and the Eagle Fly";"Aaron Tippin";2001;"Country";0;"";0;""
85;"Dancing Queen";"ABBA";1976;"Pop";0;"";0;""
86;"Mamma Mia";"ABBA";1975;"Pop";0;"";0;""
87;"Take a Chance on Me";"ABBA";1976;"Pop";0;"";0;""
88;"Gimme! Gimme! Gimme! (A Man after Midnight)";"ABBA";1979;"Pop";0;"";0;""
89;"Waterloo";"ABBA";1974;"Pop";0;"";0;""
90;"The Winner takes it All";"ABBA";1980;"Pop";0;"";0;""
91;"Fernando";"ABBA";1976;"Pop";0;"";0;""
92;"S.O.S";"ABBA";1975;"Pop";0;"";0;""
93;"Super Trouper";"ABBA";1980;"Pop";0;"";0;""
94;"I have a Dream";"ABBA";1979;"Pop";0;"";0;""
95;"Money, Money, Money";"ABBA";1976;"Pop";0;"";0;""
96;"Chiquitita";"ABBA";1979;"Pop";0;"";0;""
97;"Thank you for the Music";"ABBA";1977;"Pop";0;"";0;""
98;"ABBA Medley";"ABBA";1977;"Pop";0;"";0;""
99;"Lay all your Love on me";"ABBA";1980;"Pop";0;"";0;""
100;"Does your Mother know";"ABBA";1979;"Pop";0;"";0;""
101;"Knowing me, Knowing you";"ABBA";1976;"Pop";0;"";0;""
102;"Honey, Honey";"ABBA";1974;"Pop";0;"";0;""
103;"Andante Andante";"ABBA";1974;"Pop";0;"";0;""
104;"Voulez-Vous";"ABBA";1979;"Pop";0;"";0;""
105;"When I Kissed the Teacher";"ABBA";1976;"Pop";0;"";0;""
106;"I do, I do, I do, I do, I do";"ABBA";1975;"Pop";0;"";0;""
107;"One of us";"ABBA";1981;"Pop";0;"";0;""
108;"Slipping through my fingers";"ABBA";1981;"Pop";0;"";0;""
109;"Hasta Manana";"ABBA";1983;"Pop";0;"";0;""
110;"Ring Ring";"ABBA";1973;"Pop";0;"";0;""
111;"Angeleyes";"ABBA";1979;"Pop";0;"";0;""
112;"My Love, My Life";"ABBA";1976;"Pop";0;"";0;""
113;"The Day before you Came";"ABBA";1981;"Pop";0;"";0;""
114;"Rock me";"ABBA";1975;"Pop";0;"";0;""
115;"Chiquita";"ABBA";1975;"Pop";0;"";0;""
116;"The Name of the Game";"ABBA";1977;"Pop";0;"";0;""
117;"When all is Said and Done";"ABBA";1981;"Pop";0;"";0;""
118;"Eagle";"ABBA";1977;"Pop";0;"";0;""
119;"Our Last Summer";"ABBA";1980;"Pop";0;"";0;""
120;"One Man, One Woman";"ABBA";2012;"Pop";0;"";0;""
121;"Bang-A-Boomerang";"ABBA";1975;"Pop";0;"";0;""
122;"The Way Old Friends Do";"ABBA";1980;"Pop";0;"";0;""
123;"Summer Night City";"ABBA";1979;"Pop";0;"";0;""
124;"Happy New Year";"ABBA";1980;"Pop";0;"";0;""
125;"Under Attack";"ABBA";1981;"Pop";0;"";0;""
126;"He is your Brother";"ABBA";1973;"Pop";0;"";0;""
127;"Head of Heels";"ABBA";1973;"Pop";0;"";0;""
128;"As Good as New";"ABBA";1979;"Pop";0;"";0;""
129;"So Long";"ABBA";1974;"Pop";0;"";0;""
130;"Highway to Hell";"AC/DC";0;"undefined";0;"";0;""
131;"You Shook me All Night Long";"AC/DC";0;"undefined";0;"";0;""
132;"T.N.T";"AC/DC";0;"undefined";0;"";0;""
133;"Thunderstruck";"AC/DC";0;"undefined";0;"";0;""
134;"Big Balls";"AC/DC";0;"undefined";0;"";0;""
135;"Dirty Deeds Done Dirt Cheap";"AC/DC";0;"undefined";0;"";0;""
136;"Ride On";"AC/DC";0;"undefined";0;"";0;""
137;"Back in Black";"AC/DC";0;"undefined";0;"";0;""
138;"It's a Long Way to the Top(If you Wanna Rock 'n' Roll)";"AC/DC";0;"undefined";0;"";0;""
139;"Whole Lotta Rosie";"AC/DC";0;"undefined";0;"";0;""
140;"The Jack";"AC/DC";0;"undefined";0;"";0;""
141;"Jailbreak";"AC/DC";0;"undefined";0;"";0;""
142;"Have a Drink on Me";"AC/DC";0;"undefined";0;"";0;""
143;"Hells Bells";"AC/DC";0;"undefined";0;"";0;""
144;"Shoot to Thrill";"AC/DC";0;"undefined";0;"";0;""
145;"Rock and Roll ain't Noise Pollution";"AC/DC";0;"undefined";0;"";0;""
146;"Touch too Much";"AC/DC";0;"undefined";0;"";0;""
147;"For those about to Rock(We Salute You)";"AC/DC";0;"undefined";0;"";0;""
148;"Hell ain't a Bad Place to be";"AC/DC";0;"undefined";0;"";0;""
149;"Let there be Rock";"AC/DC";0;"undefined";0;"";0;""
150;"Shot Down in Flames";"AC/DC";0;"undefined";0;"";0;""
151;"Night Prowler";"AC/DC";0;"undefined";0;"";0;""
152;"Girls got Rhythm";"AC/DC";0;"undefined";0;"";0;""
153;"If you want Blood(You've got it)";"AC/DC";0;"undefined";0;"";0;""
154;"Stiff Upper Lip";"AC/DC";0;"undefined";0;"";0;""
155;"Rock 'n' Roll Train";"AC/DC";0;"undefined";0;"";0;""
156;"Rock or Bust";"AC/DC";0;"undefined";0;"";0;""
157;"Play Ball";"AC/DC";0;"undefined";0;"";0;""
158;"High Voltage";"AC/DC";0;"undefined";0;"";0;""
159;"Go Down";"AC/DC";0;"undefined";0;"";0;""
160;"Big Gun";"AC/DC";0;"undefined";0;"";0;""
161;"Rock 'n' Roll Dream";"AC/DC";0;"undefined";0;"";0;""
162;"War Machine";"AC/DC";0;"undefined";0;"";0;""
163;"The Sign";"Ace of Bass";1993;"Pop";0;"";0;""
164;"All that she Wants";"Ace of Bass";1992;"Dance";0;"";0;""
165;"Don't Turn Around";"Ace of Bass";1993;"Pop";0;"";0;""
166;"Cruel Summer";"Ace of Bass";1998;"Dance";0;"";0;""
167;"Everytime it Rains";"Ace of Bass";1998;"Dance";0;"";0;""
168;"Beautiful Life";"Ace of Bass";1995;"Dance";0;"";0;""
169;"Life is a Flower";"Ace of Bass";1998;"Dance";0;"";0;""
170;"Travel to Romantis";"Ace of Bass";1998;"Dance";0;"";0;""
171;"Always Have, Always Will";"Ace of Bass";1998;"Pop";0;"";0;""
172;"I want to Hold your Hand";"Across the Night";0;"undefined";0;"";0;""
173;"Hey Jude";"Across the Night";0;"undefined";0;"";0;""
174;"Oh Darling!";"Across the Night";0;"undefined";0;"";0;""
175;"Let it Be";"Across the Night";0;"undefined";0;"";0;""
176;"While my Guitar Gently Weeps";"Across the Night";0;"undefined";0;"";0;""
177;"It won't be Long";"Across the Night";0;"undefined";0;"";0;""
178;"If I Fell";"Across the Night";0;"undefined";0;"";0;""
179;"Helter Skelter";"Across the Night";0;"undefined";0;"";0;""
180;"Goody Two Shoes";"Adam Ant";0;"undefined";0;"";0;""
181;"Strip";"Adam Ant";0;"undefined";0;"";0;""
182;"Mad World";"Adam Lambert";2010;"Pop";0;"";0;""
183;"Whataya want from Me";"Adam Lambert";2009;"Dance";0;"";0;""
184;"Believe";"Adam Lambert";2019;"Pop";0;"";0;""
185;"For your Entertainment";"Adam Lambert";2009;"Dance";0;"";0;""
186;"Feel Something";"Adam Lambert";2019;"Pop";0;"";0;""
187;"Feeling Good";"Adam Lambert";2019;"Pop";0;"";0;""
188;"Ghost Town";"Adam Lambert";2015;"Pop";0;"";0;""
189;"Fever";"Adam Lambert";2009;"Pop";0;"";0;""
190;"Play that Funky Music";"Adam Lambert";2009;"Pop";0;"";0;""
191;"Ring of Fire";"Adam Lambert";2011;"Pop";0;"";0;""
192;"A Change is Gonna Come";"Adam Lambert";2011;"Pop";0;"";0;""
193;"Better than I know Myself";"Adam Lambert";2011;"Pop";0;"";0;""
194;"Another Lonely Night";"Adam Lambert";2015;"Pop";0;"";0;""
195;"If I had You";"Adam Lambert";2009;"Pop";0;"";0;""
196;"Sleepwalker";"Adam Lambert";2009;"Pop";0;"";0;""
197;"Aftermath";"Adam Lambert";2009;"Pop";0;"";0;""
198;"Time for Miracles";"Adam Lambert";2009;"Pop";0;"";0;""
199;"Voodoo";"Adam Lambert";2010;"Dance";0;"";0;""
200;"Never Close our Eyes";"Adam Lambert";2012;"Pop";0;"";0;""
201;"No Boundaries";"Adam Lambert";2009;"Pop";0;"";0;""
202;"Soaked";"Adam Lambert";2009;"Pop";0;"";0;""
203;"Music Again";"Adam Lambert";2009;"Pop";0;"";0;""
204;"Strut";"Adam Lambert";2009;"Pop";0;"";0;""
205;"Underneath";"Adam Lambert";2012;"Pop";0;"";0;""
206;"Broken Open";"Adam Lambert";2009;"Pop";0;"";0;""
207;"If I can't have you";"Adam Lambert";2009;"Pop";0;"";0;""
208;"Locked Away";"Adam Levine";0;"undefined";0;"";0;""
209;"Lost Stars";"Adam Levine";2014;"Pop";0;"";0;""
210;"Ode to My Car";"Adam Sandler";1996;"Comedy";0;"";0;""
211;"Phone Wallet Key";"Adam Sandler";2018;"Comedy";0;"";0;""
212;"The Chanukah Song";"Adam Sandler";1996;"Comedy";0;"";0;""
213;"Someone Like You";"Adele";2011;"Classical Crossover";0;"";0;""
214;"Rolling in the Deep";"Adele";2010;"Classical";0;"";0;""
215;"Make you feel my Love";"Adele";2008;"Instrumental";0;"";0;""
216;"When we were Young";"Adele";2015;"Pop";0;"";0;""
217;"Hello";"Adele";2012;"Classical";0;"";0;""
218;"One and Only";"Adele";2011;"Pop";0;"";0;""
219;"Set Fire to the Rain";"Adele";2011;"Classical Crossover";0;"";0;""
220;"Skyfall";"Adele";2012;"Classical";0;"";0;""
221;"All I Ask";"Adele";2015;"Pop";0;"";0;""
222;"Chasing Pavements";"Adele";2008;"Pop";0;"";0;""
223;"Rumour has it";"Adele";2011;"Pop";0;"";0;""
224;"Turning Tables";"Adele";2011;"Pop";0;"";0;""
225;"Lovesong";"Adele";2011;"Pop";0;"";0;""
226;"Send My Love(To your new Lover)";"Adele";2011;"Pop";0;"";0;""
227;"I can't make you Love Me";"Adele";2011;"Pop";0;"";0;""
228;"Million Years Ago";"Adele";2015;"Pop";0;"";0;""
229;"Remedy";"Adele";2015;"Pop";0;"";0;""
230;"Don't you Remember";"Adele";2011;"Pop";0;"";0;""
231;"Water Under the Bridge";"Adele";2015;"Pop";0;"";0;""
232;"I found a Boy";"Adele";2011;"Pop";0;"";0;""
233;"Hometown Glory";"Adele";2007;"Pop";0;"";0;""
234;"If it hadn't been for Love";"Adele";2007;"Pop";0;"";0;""
235;"Sweetest Devotion";"Adele";2015;"Pop";0;"";0;""
236;"Crazy for you";"Adele";2008;"Pop";0;"";0;""
237;"Hiding my Heart";"Adele";2008;"Pop";0;"";0;""
238;"He won't Go";"Adele";2011;"Pop";0;"";0;""
239;"Love in the Dark";"Adele";2015;"Pop";0;"";0;""
240;"Daydreamer";"Adele";2008;"Pop";0;"";0;""
241;"Right as Rain";"Adele";2008;"Pop";0;"";0;""
242;"Melt my Heart to Stone";"Adele";2008;"Pop";0;"";0;""
243;"Take it All";"Adele";2011;"Pop";0;"";0;""
244;"Best for Last";"Adele";2008;"Pop";0;"";0;""
245;"I Miss you";"Adele";2015;"Pop";0;"";0;""
246;"That's it, I Quit, I'm Movin' On";"Adele";2015;"Pop";0;"";0;""
247;"I'll be Waiting";"Adele";2011;"Pop";0;"";0;""
248;"River Lea";"Adele";2015;"Pop";0;"";0;""
249;"Black and Gold";"Adele";2015;"Pop";0;"";0;""
250;"Why do you Love Me";"Adele";2015;"Pop";0;"";0;""
251;"Fastlove";"Adele";2015;"Pop";0;"";0;""
252;"My Same";"Adele";2008;"Pop";0;"";0;""
253;"Many Shades of Black";"Adele";2008;"Pop";0;"";0;""
254;"Cold Shoulder";"Adele";2008;"Pop";0;"";0;""
255;"Tired";"Adele";2008;"Pop";0;"";0;""
256;"I Don't Want to Miss a Thing";"Aerosmith";1990;"Hard Rock";0;"";0;""
257;"Dream On";"Aerosmith";1973;"Hard Rock";0;"";0;""
258;"Sweet Emotion";"Aerosmith";1975;"Hard Rock";0;"";0;""
259;"Walk This Way";"Aerosmith";1975;"Hard Rock";0;"";0;""
260;"Come Together";"Aerosmith";1978;"Rock";0;"";0;""
261;"Crazy";"Aerosmith";1993;"Hard Rock";0;"";0;""
262;"Cryin'";"Aerosmith";1993;"Hard Rock";0;"";0;""
263;"Angel";"Aerosmith";1987;"Hard Rock";0;"";0;""
264;"Rag Doll";"Aerosmith";1987;"Hard Rock";0;"";0;""
265;"Big Ten Inch Record";"Aerosmith";1975;"Hard Rock";0;"";0;""
266;"Walk This Way (duet) DUET";"Aerosmith";1975;"Hard Rock";0;"";0;""
267;"What It Takes";"Aerosmith";1989;"Hard Rock";0;"";0;""
268;"Pink";"Aerosmith";1997;"Hard Rock";0;"";0;""
269;"Janie's Got A Gun";"Aerosmith";1989;"Hard Rock";0;"";0;""
270;"Dude (Looks Like A Lady)";"Aerosmith";1987;"Hard Rock";0;"";0;""
271;"Jaded";"Aerosmith";1987;"Hard Rock";0;"";0;""
272;"Livin' On The Edge";"Aerosmith";1993;"Hard Rock";0;"";0;""
273;"Train Kept A Rollin'";"Aerosmith";1974;"Rock";0;"";0;""
274;"Amazing";"Aerosmith";1993;"Hard Rock";0;"";0;""
275;"Love In An Elevator";"Aerosmith";1989;"Hard Rock";0;"";0;""
276;"Falling In Love (Is Hard On The Knees)";"Aerosmith";1997;"Hard Rock";0;"";0;""
277;"Same Old Song and Dance";"Aerosmith";1974;"Hard Rock";0;"";0;""
278;"Mama Kin";"Aerosmith";1973;"Hard Rock";0;"";0;""
279;"Hole In My Soul";"Aerosmith";1997;"Hard Rock";0;"";0;""
280;"Back in the Saddle";"Aerosmith";1976;"Hard Rock";0;"";0;""
281;"Last Child";"Aerosmith";1976;"Hard Rock";0;"";0;""
282;"What Could Have Been Love";"Aerosmith";2012;"Hard Rock";0;"";0;""
283;"Girls Of Summer";"Aerosmith";2012;"Hard Rock";0;"";0;""
284;"Blind Man";"Aerosmith";1994;"Hard Rock";0;"";0;""
285;"Fly Away From Here";"Aerosmith";1994;"Hard Rock";0;"";0;""
286;"Luv Lies";"Aerosmith";1994;"Hard Rock";0;"";0;""
287;"Crazy Rap EXPLICIT";"Afroman";0;"undefined";0;"";0;""
288;"Because I Got High EXPLICIT";"Afroman";0;"undefined";0;"";0;""
289;"All Out Of Love";"Air Supply";1979;"Pop";0;"";0;""
290;"Making Love Out Of Nothing At All";"Air Supply";1982;"Pop";0;"";0;""
291;"Lost In Love";"Air Supply";1979;"Pop";0;"";0;""
292;"Even the Nights Are Better";"Air Supply";1982;"Pop";0;"";0;""
293;"Every Woman in the World";"Air Supply";1980;"Pop";0;"";0;""
294;"Sweet Dreams";"Air Supply";1981;"Pop";0;"";0;""
295;"The One That You Love";"Air Supply";1981;"Pop";0;"";0;""
296;"Lonely";"Akon";2004;"Hip Hop";0;"";0;""
297;"Don't Matter";"Akon";2006;"Hip Hop";0;"";0;""
298;"Beautiful";"Akon";2008;"R&B Soul";0;"";0;""
299;"Sorry, Blame It on Me";"Akon";2006;"Hip Hop";0;"";0;""
300;"Angel";"Akon";2006;"Hip Hop";0;"";0;""
301;"Oh Africa";"Akon";2010;"R&B Soul";0;"";0;""
302;"Let's Stay Together";"Al Green";1971;"R&B Soul";0;"";0;""
303;"For The Good Times";"Al Green";1972;"R&B Soul";0;"";0;""
304;"Love And Happiness";"Al Green";1972;"R&B Soul";0;"";0;""
305;"Tired Of Being Alone";"Al Green";1971;"R&B Soul";0;"";0;""
306;"Take Me To The River";"Al Green";1974;"Rock";0;"";0;""
307;"I'm Still In Love With You";"Al Green";1972;"R&B Soul";0;"";0;""
308;"How Can You Mend A Broken Heart";"Al Green";1972;"R&B Soul";0;"";0;""
309;"Sha La La (Make Me Happy)";"Al Green";1972;"R&B Soul";0;"";0;""
310;"Here I Am (Come And Take Me)";"Al Green";1973;"R&B Soul";0;"";0;""
311;"Call Me (Come Back Home)";"Al Green";1973;"R&B Soul";0;"";0;""
312;"You Ought to Be with Me";"Al Green";1973;"R&B Soul";0;"";0;""
313;"Look What You've Done For Me";"Al Green";1973;"R&B Soul";0;"";0;""
314;"How Can You Mend A Broken Heart (feat. Joss DUET";"Al Green";1973;"R&B Soul";0;"";0;""
315;"We're In This Love Together";"Al Jarreau";1981;"Jazz";0;"";0;""
316;"Teach Me Tonight";"Al Jarreau";1981;"Jazz";0;"";0;""
317;"Mornin'";"Al Jarreau";1983;"Jazz";0;"";0;""
318;"After All";"Al Jarreau";1984;"Jazz";0;"";0;""
319;"Since I Fell For You";"Al Jarreau";1986;"Jazz";0;"";0;""
320;"Spain (I Can Recall)";"Al Jarreau";1980;"Jazz";0;"";0;""
321;"Mas que nada";"Al Jarreau";1994;"Jazz";0;"";0;""
322;"Boogie Down";"Al Jarreau";1983;"Jazz";0;"";0;""
323;"Roof Garden";"Al Jarreau";1981;"Jazz";0;"";0;""
324;"Take Five";"Al Jarreau";1977;"Jazz";0;"";0;""
325;"Agua De Beber";"Al Jarreau";1976;"Jazz";0;"";0;""
326;"Mountain Music";"Alabama";1982;"Country";0;"";0;""
327;"Dixieland Delight";"Alabama";1982;"Country";0;"";0;""
328;"Feels So Right";"Alabama";1981;"Country";0;"";0;""
329;"Lady Down on Love";"Alabama";1983;"Country";0;"";0;""
330;"Old Flame";"Alabama";1981;"Country";0;"";0;""
331;"Jukebox In My Mind";"Alabama";1990;"Country";0;"";0;""
332;"Angels Among Us";"Alabama";1982;"Country";0;"";0;""
333;"Song of the South";"Alabama";1988;"Country";0;"";0;""
334;"I'm In A Hurry (And Don't Know Why)";"Alabama";1992;"Country";0;"";0;""
335;"If You're Gonna Play in Texas (You Gotta Have a";"Alabama";1982;"Country";0;"";0;""
336;"Fiddle in the Band)";"Alabama";1982;"Country";0;"";0;""
337;"Take Me Down";"Alabama";1982;"Country";0;"";0;""
338;"Forever's As Far As I'll Go";"Alabama";1990;"Country";0;"";0;""
339;"If I Had You";"Alabama";1989;"Country";0;"";0;""
340;"The Closer You Get";"Alabama";1983;"Country";0;"";0;""
341;"Love In The First Degree";"Alabama";1981;"Country";0;"";0;""
342;"Tennessee River";"Alabama";1980;"Country";0;"";0;""
343;"Christmas In Dixie";"Alabama";1982;"Country";0;"";0;""
344;"Dancin', Shaggin' on the Boulevard";"Alabama";1997;"Country";0;"";0;""
345;"Born Country";"Alabama";1991;"Country";0;"";0;""
346;"You've Got The Touch";"Alabama";1986;"Country";0;"";0;""
347;"The Woman He Loves";"Alabama";1982;"Country";0;"";0;""
348;"Give Me One More Shot";"Alabama";1982;"Country";0;"";0;""
349;"Louisiana Moon";"Alabama";1982;"Country";0;"";0;""
350;"I'm In The Mood";"Alabama";1982;"Country";0;"";0;""
351;"Friend Like Me";"Aladdin(Musical)";0;"undefined";0;"";0;""
352;"One Jump Ahead";"Aladdin(Musical)";0;"undefined";0;"";0;""
353;"A Whole New World";"Aladdin(Musical)";0;"undefined";0;"";0;""
354;"Proud of Your Boy";"Aladdin(Musical)";0;"undefined";0;"";0;""
355;"Arabian Nights";"Aladdin(Musical)";0;"undefined";0;"";0;""
356;"Prince Ali";"Aladdin(Musical)";0;"undefined";0;"";0;""
357;"High Adventure";"Aladdin(Musical)";0;"undefined";0;"";0;""
358;"Babkak, Omar, Aladdin, Kassim";"Aladdin(Musical)";0;"undefined";0;"";0;""
359;"These Palace Walls";"Aladdin(Musical)";0;"undefined";0;"";0;""
360;"A Million Miles Away";"Aladdin(Musical)";0;"undefined";0;"";0;""
361;"Diamond in the Rough";"Aladdin(Musical)";0;"undefined";0;"";0;""
362;"Somebody's Got Your Back";"Aladdin(Musical)";0;"undefined";0;"";0;""
363;"Finale Ultimo";"Aladdin(Musical)";0;"undefined";0;"";0;""
364;"Remember When";"Alan Jackson";2003;"Country";0;"";0;""
365;"Chattahoochee";"Alan Jackson";1992;"Country";0;"";0;""
366;"The Blues Man";"Alan Jackson";1999;"Country";0;"";0;""
367;"It's Five O'Clock Somewhere";"Alan Jackson";2003;"Country";0;"";0;""
368;"Don't Rock The Jukebox";"Alan Jackson";1991;"Country";0;"";0;""
369;"Here In The Real World";"Alan Jackson";1990;"Country";0;"";0;""
370;"Midnight In Montgomery";"Alan Jackson";1991;"Country";0;"";0;""
371;"The Older I Get";"Alan Jackson";2017;"Country";0;"";0;""
372;"Livin' On Love";"Alan Jackson";1994;"Country";0;"";0;""
373;"Pop A Top";"Alan Jackson";1999;"Country";0;"";0;""
374;"Little Bitty";"Alan Jackson";1996;"Country";0;"";0;""
375;"Chasin' That Neon Rainbow";"Alan Jackson";1990;"Country";0;"";0;""
376;"Margaritaville";"Alan Jackson";1999;"Country";0;"";0;""
377;"Good Time";"Alan Jackson";2008;"Country";0;"";0;""
378;"I Don't Even Know Your Name";"Alan Jackson";1994;"Country";0;"";0;""
379;"How Great Thou Art";"Alan Jackson";2006;"Country";0;"";0;""
380;"What A Friend We Have In Jesus";"Alan Jackson";2006;"Country";0;"";0;""
381;"Who's Cheatin' Who";"Alan Jackson";1996;"Country";0;"";0;""
382;"Summertime Blues";"Alan Jackson";1994;"Country";0;"";0;""
383;"She's Got The Rhythm (And I Got The Blues)";"Alan Jackson";1992;"Country";0;"";0;""
384;"Drive (For Daddy Gene)";"Alan Jackson";2002;"Country";0;"";0;""
385;"Designated Drinker DUET";"Alan Jackson";2002;"Country";0;"";0;""
386;"Where Were You (When The World Stopped";"Alan Jackson";2001;"Country";0;"";0;""
387;"Chattahoochee (Extended Mix)";"Alan Jackson";2001;"Country";0;"";0;""
388;"Tall Tall Trees";"Alan Jackson";2001;"Country";0;"";0;""
389;"Gone Country";"Alan Jackson";1994;"Country";0;"";0;""
390;"Mercury Blues";"Alan Jackson";1992;"Country";0;"";0;""
391;"Blessed Assurance";"Alan Jackson";2006;"Country";0;"";0;""
392;"Sissy's Song";"Alan Jackson";2008;"Country";0;"";0;""
393;"Ring of Fire";"Alan Jackson";2010;"Country";0;"";0;""
